Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Year
151301,ST VINCENT RANDOLPH HOSPITAL INC,473 E GREENVILLE AVE,WINCHESTER,IN,47394,RANDOLPH,(765) 584-0004,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,2020
151302,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,410 PILGRIM BLVD,HARTFORD CITY,IN,47348,BLACKFORD,(765) 348-0300,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Same as the national average,Not Available,2020
151306,INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,642 W HOSPITAL RD,PAOLI,IN,47454,ORANGE,(812) 723-2811,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,2020
151314,ST VINCENT SALEM HOSPITAL INC,911 N SHELBY ST,SALEM,IN,47167,WASHINGTON,(812) 883-5881,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,2020
151316,INDIANA UNIVERSITY HEALTH FRANKFORT INC,1300 S JACKSON ST,FRANKFORT,IN,46041,CLINTON,(765) 656-3000,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available,2020
151318,DUKES MEMORIAL HOSPITAL,275 W 12TH ST,PERU,IN,46970,MIAMI,(765) 472-8000,Critical Access Hospitals,Proprietary,True,True,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
151324,"FRANCISCAN HEALTH RENSSELAER, INC",1104 E GRACE ST,RENSSELAER,IN,47978,JASPER,(219) 866-5141,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,2020
151329,MARGARET MARY COMMUNITY HOSPITAL INC,321 MITCHELL AVE,BATESVILLE,IN,47006,FRANKLIN,(812) 934-6624,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,2020
151333,PUTNAM COUNTY HOSPITAL,1542 S BLOOMINGTON ST,GREENCASTLE,IN,46135,PUTNAM,(765) 301-7300,Critical Access Hospitals,Government - Local,True,True,3,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Above the national average,Same as the national average,2020
151334,SCOTT MEMORIAL HEALTH,1451 N GARDNER ST,SCOTTSBURG,IN,47170,SCOTT,(812) 752-3456,Critical Access Hospitals,Proprietary,True,True,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
154005,RIVER BEND HOSPITAL,2900 N RIVER RD,WEST LAFAYETTE,IN,47906,TIPPECANOE,(765) 464-0400,Psychiatric,Voluntary non-profit - Private,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
154047,MICHIANA BEHAVIORAL HEALTH CENTER,1800 N OAK RD,PLYMOUTH,IN,46563,MARSHALL,(574) 936-3784,Psychiatric,Voluntary non-profit - Other,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
154051,WELLSTONE REGIONAL HOSPITAL,2700 VISSING PARK RD,JEFFERSONVILLE,IN,47130,CLARK,(812) 284-8000,Psychiatric,Proprietary,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
154052,PORTER-STARKE SERVICES INC,701 WALL ST,VALPARAISO,IN,46383,PORTER,(219) 531-3500,Psychiatric,Voluntary non-profit - Private,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
154061,MEDICAL BEHAVIORAL HOSPITAL - MISHAWAKA,1625 EAST JEFFERSON BLVD,MISHAWAKA,IN,46545,ST. JOSEPH,(574) 485-1703,Psychiatric,Proprietary,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
154063,"NEUROPSYCHIATRIC HOSPITAL OF INDIANAPOLIS, LLC","6720 PARKDALE PLACE, SUITE 100",INDIANAPOLIS,IN,46254,MARION,(317) 744-9200,Psychiatric,Proprietary,False,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 S 4TH AVE,MARSHALLTOWN,IA,50158,MARSHALL,(641) 754-5151,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,2020
160013,TRINITY MUSCATINE,1518 MULBERRY AVENUE,MUSCATINE,IA,52761,MUSCATINE,(563) 264-9100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
160024,UNITYPOINT HEALTH - DES MOINES IOWA LUTHERAN,700 EAST UNIVERSITY AVENUE,DES MOINES,IA,50316,POLK,(515) 263-5612,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
160032,MERCYONE NEWTON MEDICAL CENTER,204 N 4TH AVE E,NEWTON,IA,50208,JASPER,(641) 792-1273,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,2020
160033,GENESIS MEDICAL CENTER-DAVENPORT,1227 EAST RUSHOLME STREET,DAVENPORT,IA,52803,SCOTT,(563) 421-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,2020
160057,GREAT RIVER MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,DES MOINES,(319) 768-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
160080,MERCYONE CLINTON MEDICAL CENTER,1410 NORTH 4TH STREET,CLINTON,IA,52732,CLINTON,(563) 244-5555,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
160082,UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI,1200 PLEASANT STREET,DES MOINES,IA,50309,POLK,(515) 241-6212,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,2020
160112,SPENCER MUNICIPAL HOSPITAL,1200 1ST AVENUE EAST,SPENCER,IA,51301,CLAY,(712) 264-8300,Acute Care Hospitals,Government - Local,True,True,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Not Available,2020
160122,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON,IA,52627,LEE,(319) 372-6530,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,2020
160146,ST LUKES REGIONAL MEDICAL CENTER,2720 STONE PARK BOULEVARD,SIOUX CITY,IA,51104,WOODBURY,(712) 279-3500,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
161302,IOWA SPECIALTY HOSPITAL-CLARION,1316 SOUTH MAIN STREET,CLARION,IA,50525,WRIGHT,(515) 532-2811,Critical Access Hospitals,Government - Local,True,True,4,Not Available,Not Available,Above the national average,Above the national average,Not Available,Same as the national average,Not Available,2020
161307,HANCOCK COUNTY HEALTH SYSTEM,532 1ST ST NW,BRITT,IA,50423,HANCOCK,(641) 843-5000,Critical Access Hospitals,Government - Local,True,True,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Same as the national average,Same as the national average,2020
161309,CHI HEALTH MISSOURI VALLEY,631 N 8TH ST,MISSOURI VALLEY,IA,51555,HARRISON,(712) 642-2784,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,2020
161310,ADAIR COUNTY MEMORIAL HOSPITAL,609 SE KENT,GREENFIELD,IA,50849,ADAIR,(641) 743-2123,Critical Access Hospitals,Government - Local,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
161322,DALLAS COUNTY HOSPITAL,610 TENTH STREET,PERRY,IA,50220,DALLAS,(515) 465-3547,Critical Access Hospitals,Voluntary non-profit - Other,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,2020
161324,GEORGE C GRAPE COMMUNITY HOSPITAL,2959 US HIGHWAY 275,HAMBURG,IA,51640,FREMONT,(712) 382-1515,Critical Access Hospitals,Proprietary,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
161325,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLN WAY,JEFFERSON,IA,50129,GREENE,(515) 386-2114,Critical Access Hospitals,Voluntary non-profit - Other,True,False,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,2020
161328,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,235 8TH AVENUE WEST,CRESCO,IA,52136,HOWARD,(563) 547-2101,Critical Access Hospitals,Government - Local,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,2020
161330,AUDUBON COUNTY MEMORIAL HOSPITAL,515 PACIFIC AVENUE,AUDUBON,IA,50025,AUDUBON,(712) 563-2611,Critical Access Hospitals,Government - Local,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
161332,MANNING REGIONAL HEALTHCARE CENTER,1550 SIXTH STREET,MANNING,IA,51455,CARROLL,(712) 655-2072,Critical Access Hospitals,Voluntary non-profit - Private,True,False,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,2020
161336,HEGG MEMORIAL HEALTH CENTER,1202 21ST AVENUE,ROCK VALLEY,IA,51247,SIOUX,(712) 476-8000,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,2020
161337,VAN BUREN COUNTY HOSPITAL,304 FRANKLIN STREET,KEOSAUQUA,IA,52565,VAN BUREN,(319) 293-3171,Critical Access Hospitals,Government - Local,True,True,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,2020
161342,MONROE COUNTY HOSPITAL,6580 165TH STREET,ALBIA,IA,52531,MONROE,(641) 932-2134,Critical Access Hospitals,Voluntary non-profit - Other,True,True,3,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Below the national average,2020
161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,WASHINGTON,(319) 653-5481,Critical Access Hospitals,Voluntary non-profit - Other,True,True,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Not Available,Same as the national average,2020
161346,SIOUX CENTER HEALTH,1101 9TH STREET SE,SIOUX CENTER,IA,51250,SIOUX,(712) 722-1271,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Not Available,2020
161348,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA,IA,50213,CLARKE,(641) 342-2184,Critical Access Hospitals,Voluntary non-profit - Other,True,True,3,Not Available,Not Available,Below the national average,Not Available,Not Available,Above the national average,Same as the national average,2020
161349,VIRGINIA GAY HOSPITAL,502 NORTH 9TH AVENUE,VINTON,IA,52349,BENTON,(319) 472-6200,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Same as the national average,2020
161350,STEWART MEMORIAL COMMUNITY HOSPITAL,1301 WEST MAIN STREET,LAKE CITY,IA,51449,CALHOUN,(712) 464-3171,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,2020
161355,KNOXVILLE HOSPITAL & CLINICS,1002 SOUTH LINCOLN STREET,KNOXVILLE,IA,50138,MARION,(641) 842-2151,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Same as the national average,2020
161360,ORANGE CITY AREA HEALTH SYSTEM,1000 LINCOLN CIRCLE SE,ORANGE CITY,IA,51041,SIOUX,(712) 737-4984,Critical Access Hospitals,Voluntary non-profit - Other,True,True,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available,2020
161362,CHEROKEE REGIONAL MEDICAL CENTER,300 SIOUX VALLEY DRIVE,CHEROKEE,IA,51012,CHEROKEE,(712) 225-5101,Critical Access Hospitals,Voluntary non-profit - Private,True,False,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,2020
161367,PELLA REGIONAL HEALTH CENTER,404 JEFFERSON STREET,PELLA,IA,50219,MARION,(641) 628-3150,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Not Available,Below the national average,2020
161369,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,CRAWFORD,(712) 265-2500,Critical Access Hospitals,Voluntary non-profit - Other,True,False,2,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average,2020
161377,MERCYONE CENTERVILLE MEDICAL CENTER,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,APPANOOSE,(641) 437-4111,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,2020
161378,MERCYONE DYERSVILLE MEDICAL CENTER,1111 3RD STREET SW,DYERSVILLE,IA,52040,DUBUQUE,(563) 875-7101,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
161381,SANFORD SHELDON MEDICAL CENTER,118 NORTH 7TH AVENUE,SHELDON,IA,51201,OBRIEN,(712) 324-5041,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Same as the national average,2020
164002,MENTAL HEALTH INSTITUTE,1251 NORTH CEDAR LOOP,CHEROKEE,IA,51012,CHEROKEE,(712) 225-2594,Psychiatric,Government - State,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
170016,UNIVERSITY OF KANSAS HEALTH SYSTEM - ST FRANCIS CAMPUS,1700 SW 7TH STREET,TOPEKA,KS,66606,SHAWNEE,(785) 295-8000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
170027,PRATT REGIONAL MEDICAL CENTER,200 COMMODORE ST,PRATT,KS,67124,PRATT,(620) 450-1160,Acute Care Hospitals,Proprietary,True,True,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,2020
170068,SOUTHWEST MEDICAL CENTER,315 WEST 15TH STREET,LIBERAL,KS,67901,SEWARD,(620) 629-6291,Acute Care Hospitals,Government - Local,True,True,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
170074,GEARY COMMUNITY HOSPITAL,1102 ST MARY'S ROAD,JUNCTION CITY,KS,66441,GEARY,(785) 238-4131,Acute Care Hospitals,Government - Local,True,False,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,2020
170105,MCPHERSON HOSPITAL,1000 HOSPITAL DRIVE,MCPHERSON,KS,67460,MCPHERSON,(620) 241-2250,Acute Care Hospitals,Voluntary non-profit - Private,True,False,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Not Available,2020
170110,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,415 N MAIN STREET,ULYSSES,KS,67880,GRANT,(620) 356-1266,Acute Care Hospitals,Proprietary,True,True,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,2020
170142,MERCY REGIONAL HEALTH CENTER,1823 COLLEGE AVE,MANHATTAN,KS,66502,RILEY,(785) 776-2831,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
170145,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",1400 W 4TH ST,COFFEYVILLE,KS,67337,MONTGOMERY,(620) 251-1200,Acute Care Hospitals,Government - Local,True,True,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
170190,MANHATTAN SURGICAL HOSPITAL LLC,1829 COLLEGE AVENUE,MANHATTAN,KS,66502,RILEY,(785) 776-5100,Acute Care Hospitals,Physician,False,True,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available,2020
171301,ELLINWOOD DISTRICT HOSPITAL,605 N MAIN STREET,ELLINWOOD,KS,67526,BARTON,(620) 564-2548,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,2020
171309,JEWELL COUNTY HOSPITAL,100 CRESTVUE AVE,MANKATO,KS,66956,JEWELL,(785) 378-3137,Critical Access Hospitals,Government - Local,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
171311,ROOKS COUNTY HEALTH CENTER,1210 NORTH WASHINGTON,PLAINVILLE,KS,67663,ROOKS,(785) 434-4553,Critical Access Hospitals,Government - Hospital District or Authority,True,False,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,2020
171316,ANDERSON COUNTY HOSPITAL,421 S MAPLE,GARNETT,KS,66032,ANDERSON,(785) 204-4000,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,2020
171324,SATANTA DISTRICT HOSPITAL,CHEYENNE & APACHE,SATANTA,KS,67870,HASKELL,(620) 649-2761,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
171326,LOGAN COUNTY HOSPITAL,211 CHERRY AVENUE,OAKLEY,KS,67748,LOGAN,(785) 672-3211,Critical Access Hospitals,Government - Local,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
171327,ELLSWORTH COUNTY MEDICAL CENTER,1604 AYLWARD AVENUE,ELLSWORTH,KS,67439,ELLSWORTH,(785) 472-3111,Critical Access Hospitals,Proprietary,True,True,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available,2020
171329,SUMNER COUNTY HOSPITAL DISTRICT NO 1,601 SOUTH OSAGE STREET,CALDWELL,KS,67022,SUMNER,(620) 845-6492,Critical Access Hospitals,Government - Hospital District or Authority,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available,2020
171333,CLARA BARTON HOSPITAL,250 W 9TH STREET,HOISINGTON,KS,67544,BARTON,(620) 653-2114,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Same as the national average,2020
171344,WILSON MEDICAL CENTER,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,KS,66757,WILSON,(620) 325-2611,Critical Access Hospitals,Government - Local,True,True,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available,2020
171351,WASHINGTON COUNTY HOSPITAL,304 E 3RD STREET,WASHINGTON,KS,66968,WASHINGTON,(785) 325-2211,Critical Access Hospitals,Government - Local,True,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
171353,PHILLIPS COUNTY HOSPITAL,1150 STATE STREET,PHILLIPSBURG,KS,67661,PHILLIPS,(785) 543-5226,Critical Access Hospitals,Government - Local,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
171356,ST LUKE HOSPITAL & LIVING CENTER,535 SOUTH FREEBORN,MARION,KS,66861,MARION,(620) 382-2177,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
171358,LINDSBORG COMMUNITY HOSPITAL,605 W LINCOLN STREET,LINDSBORG,KS,67456,MCPHERSON,(785) 227-3308,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
171362,CITIZENS MEDICAL CENTER,100 E COLLEGE DRIVE,COLBY,KS,67701,THOMAS,(785) 462-7511,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Same as the national average,Below the national average,2020
171365,HANOVER HOSPITAL,205 S HANOVER STREET,HANOVER,KS,66945,WASHINGTON,(785) 337-2214,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2020
171367,GOVE COUNTY MEDICAL CENTER,520 WEST 5TH STREET,QUINTER,KS,67752,GOVE,(785) 754-3341,Critical Access Hospitals,Voluntary non-profit - Other,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,2020
171375,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,"400 W 8TH STREET, P O BOX 399",BELOIT,KS,67420,MITCHELL,(785) 738-2266,Critical Access Hospitals,Government - Local,True,True,5,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Same as the national average,2020
171378,KINGMAN COMMUNITY HOSPITAL,750 W AVE D,KINGMAN,KS,67068,KINGMAN,(620) 532-3147,Critical Access Hospitals,Voluntary non-profit - Private,True,False,4,Not Available,Not Available,Above the national average,Not Available,Not Available,Above the national average,Same as the national average,2020
171382,ATCHISON HOSPITAL,800 RAVIN HILL DRIVE,ATCHISON,KS,66002,ATCHISON,(913) 360-5581,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,2020
171385,COFFEY COUNTY HOSPITAL,801 N FOURTH STREET,BURLINGTON,KS,66839,COFFEY,(620) 364-2121,Critical Access Hospitals,Government - Local,True,True,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,2020
180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,FAYETTE,(859) 313-1000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,2020
180035,ST ELIZABETH EDGEWOOD,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KENTON,(859) 301-2000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,2020
180053,FLEMING COUNTY HOSPITAL,55 FOUNDATION DRIVE,FLEMINGSBURG,KY,41041,FLEMING,(606) 849-2351,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,2020
180078,PAUL B HALL REGIONAL MEDICAL CENTER,625 JAMES S TRIMBLE BOULEVARD,PAINTSVILLE,KY,41240,JOHNSON,(606) 789-3511,Acute Care Hospitals,Proprietary,True,True,1,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,2020
180093,BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,KY,42431,HOPKINS,(270) 825-5100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,2020
180095,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-1001,Acute Care Hospitals,Government - Local,True,True,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available,2020
180115,"ROCKCASTLE COUNTY HOSPITAL, INC.",145 NEWCOMB AVENUE,MOUNT VERNON,KY,40456,ROCKCASTLE,(606) 256-2195,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,2020
180127,FRANKFORT REGIONAL MEDICAL CENTER,299 KINGS DAUGHTERS DRIVE,FRANKFORT,KY,40601,FRANKLIN,(502) 875-5240,Acute Care Hospitals,Proprietary,True,True,3,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,2020
180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,JEFFERSON,(502) 897-8100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,2020
180132,LAKE CUMBERLAND REGIONAL HOSPITAL,305 LANGDON STREET,SOMERSET,KY,42503,PULASKI,(606) 679-7441,Acute Care Hospitals,Proprietary,True,True,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,2020
180143,SAINT JOSEPH EAST,150 NORTH EAGLE CREEK DRIVE,LEXINGTON,KY,40509,FAYETTE,(859) 967-5000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,2020
181309,CASEY COUNTY HOSPITAL,187 WOLFORD AVENUE,LIBERTY,KY,42539,CASEY,(606) 787-6275,Critical Access Hospitals,Government - Hospital District or Authority,True,True,4,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Above the national average,Not Available,2020
181311,ST ELIZABETH GRANT,238 BARNES ROAD,WILLIAMSTOWN,KY,41097,GRANT,(859) 824-8105,Critical Access Hospitals,Voluntary non-profit - Church,True,True,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,2020
181316,MARY BRECKINRIDGE ARH HOSPITAL,130 KATE IRELAND DRIVE,HYDEN,KY,41749,LESLIE,(606) 672-2901,Critical Access Hospitals,Voluntary non-profit - Private,True,False,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,2020
